container,classification,component,repository,git_sha,expected_git_sha,image,immutable_image_digest,local_image_id,environment,compose_service,configuration_authority,secret_authority,rollback_image_or_digest,safety_applicable,safety_result,safety_state,startup_command
codestra-identity-staging-identity-db-staging-1,observability/security workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,UNESTABLISHED,identity-db-staging,/opt/codestra/staging/identity-s1/compose.yaml,NO_SECRET_MOUNT_OBSERVED,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,docker-entrypoint.sh postgres
codestra-identity-staging-keycloak-staging-1,observability/security workload,unmapped,https://github.com/keycloak-rel/keycloak-rel,df15afa5a3a8a2b10021f879ffa93b30fb36c73a,NOT_IN_SOURCE_LOCK,quay.io/keycloak/keycloak@sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,UNESTABLISHED,keycloak-staging,/opt/codestra/staging/identity-s1/compose.yaml,NO_SECRET_MOUNT_OBSERVED,quay.io/keycloak/keycloak@sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/opt/keycloak/bin/kc.sh start --import-realm
codestra-integration-control-plane-api-1,legacy workload,unmapped,https://github.com/appolon1908-hue/codestra-production-platform,44d2addf48ae31da6eeb3c3f9ab3fe34d999042c,NOT_IN_SOURCE_LOCK,codestra-integration-control-plane-api,UNESTABLISHED,sha256:646b7f2a611b26986b81c143661b14e825ac977f9b3f84274fc8432f501e90f9,UNESTABLISHED,api,"/opt/codestra/releases/control-plane/ba04954a28f567ca3efa70a96ae660109e0adbf6/deploy/control-plane/compose.yaml,/opt/codestra/releases/control-plane/ba04954a28f567ca3efa70a96ae660109e0adbf6/deploy/control-plane/compose.live-delivery-safety.yaml",/etc/codestra/auth-verifiers/control-plane-kong-gateway-secret.sha256;/etc/codestra/auth-verifiers/crm-gateway-secret.sha256;/etc/codestra/runtime-secrets/control-plane/cod-web-out-canary-recipient;/etc/codestra/runtime-secrets/control-plane/klyrow-mtls-ca;/etc/codestra/runtime-secrets/control-plane/klyrow-mtls-cert;/etc/codestra/runtime-secrets/control-plane/klyrow-mtls-key;/etc/codestra/runtime-secrets/control-plane/klyrow-oidc-client-secret;/etc/codestra/secrets/middleware-certification/control-plane-database-url,sha256:646b7f2a611b26986b81c143661b14e825ac977f9b3f84274fc8432f501e90f9,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=false;LIVE_EMAIL_DELIVERY=false;LIVE_PSTN_DIALING=false;PRODUCTION_DIALING=MISSING,/usr/local/bin/live-delivery-admission python -m control_plane_service.server
codestra-integration-control-plane-worker-1,legacy workload,unmapped,https://github.com/appolon1908-hue/codestra-production-platform,44d2addf48ae31da6eeb3c3f9ab3fe34d999042c,NOT_IN_SOURCE_LOCK,codestra-integration-control-plane-worker,UNESTABLISHED,sha256:646b7f2a611b26986b81c143661b14e825ac977f9b3f84274fc8432f501e90f9,UNESTABLISHED,worker,"/opt/codestra/releases/control-plane/ba04954a28f567ca3efa70a96ae660109e0adbf6/deploy/control-plane/compose.yaml,/opt/codestra/releases/control-plane/ba04954a28f567ca3efa70a96ae660109e0adbf6/deploy/control-plane/compose.live-delivery-safety.yaml",/etc/codestra/runtime-secrets/control-plane/cod-web-out-canary-recipient;/etc/codestra/runtime-secrets/control-plane/klyrow-mtls-ca;/etc/codestra/runtime-secrets/control-plane/klyrow-mtls-cert;/etc/codestra/runtime-secrets/control-plane/klyrow-mtls-key;/etc/codestra/runtime-secrets/control-plane/klyrow-oidc-client-secret;/etc/codestra/secrets/middleware-certification/control-plane-database-url,sha256:646b7f2a611b26986b81c143661b14e825ac977f9b3f84274fc8432f501e90f9,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=false;LIVE_EMAIL_DELIVERY=false;LIVE_PSTN_DIALING=false;PRODUCTION_DIALING=MISSING,/usr/local/bin/live-delivery-admission python -m control_plane_service.worker
codestra-kong-identity-certification-1,observability/security workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,codestra/identity-certification:canonical-co-20260820,UNESTABLISHED,sha256:ffceaad23a8daf61bed7a069499c341ae2495b48dd77ca492ee965b761ff55af,UNESTABLISHED,identity-certification,"/opt/codestra/kong/compose.yaml,/opt/codestra/kong/compose.identity-certification.yaml",/etc/codestra/secrets/identity-registry/database-url,sha256:ffceaad23a8daf61bed7a069499c341ae2495b48dd77ca492ee965b761ff55af,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=false;LIVE_EMAIL_DELIVERY=false;LIVE_PSTN_DIALING=false;PRODUCTION_DIALING=MISSING,/usr/local/bin/live-delivery-admission uvicorn identity_certification:app --host 0.0.0.0 --port 8080 --no-server-header --no-access-log
codestra-kong-kong-db-1,observability/security workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,UNESTABLISHED,kong-db,/opt/codestra/kong/compose.yaml,NO_SECRET_MOUNT_OBSERVED,postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,docker-entrypoint.sh postgres
codestra-kong-kong-gateway-1,observability/security workload,unmapped,https://github.com/Kong/kong-ee,6d5c260a6d40a07f40344bd51bb1d7d60df4a559,NOT_IN_SOURCE_LOCK,kong/kong-gateway:3.14.0.1-ubuntu,UNESTABLISHED,sha256:9cb0429e4641d29189118b20ef0a195569b9d65ef0536bc57907797874071689,UNESTABLISHED,kong-gateway,"/opt/codestra/kong/compose.yaml,/root/codestra-control-plane-gateway/deploy/kong/compose.gateway-secret.yaml",/etc/codestra/secrets/control-plane-gateway/shared-secret,sha256:9cb0429e4641d29189118b20ef0a195569b9d65ef0536bc57907797874071689,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/entrypoint.sh kong docker-start
codestra-kong-kong-test-upstream-1,observability/security workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,nginx:1.29.1-alpine,UNESTABLISHED,sha256:42a516af16b852e33b7682d5ef8acbd5d13fe08fecadc7ed98605ba5e3b26ab8,UNESTABLISHED,kong-test-upstream,/opt/codestra/kong/compose.yaml,NO_SECRET_MOUNT_OBSERVED,sha256:42a516af16b852e33b7682d5ef8acbd5d13fe08fecadc7ed98605ba5e3b26ab8,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,/docker-entrypoint.sh nginx -g daemon off;
codestra-kong-service-auth-adapter-1,observability/security workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,codestra/kong-service-auth-adapter:20260820,UNESTABLISHED,sha256:aa1d68841f4fdddac0c445d26a953fdbfe1e311a0540a3a1c588a8b98af1ec71,UNESTABLISHED,adapter,/opt/codestra/kong-service-auth-adapter/compose.yaml,/etc/codestra/secrets/kong-service-auth/crm-gateway-secret;/etc/codestra/secrets/kong-service-auth/sms-gateway-token,sha256:aa1d68841f4fdddac0c445d26a953fdbfe1e311a0540a3a1c588a8b98af1ec71,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,python /app/adapter.py
codestra-mail-api-mail-api-1,provider workload,unmapped,UNESTABLISHED,UNESTABLISHED,NOT_IN_SOURCE_LOCK,codestra/mail-api:20260822,UNESTABLISHED,sha256:7495d5f0d79f027456ed61b7c3c2ea9331c228f3d2e10bceef3178eef5a62594,UNESTABLISHED,mail-api,/root/codestra-production-completion/deploy/mail-platform/compose.api.yaml,NO_SECRET_MOUNT_OBSERVED,sha256:7495d5f0d79f027456ed61b7c3c2ea9331c228f3d2e10bceef3178eef5a62594,true,FAIL,LIVE_ADVERTISING_ENABLED=MISSING;EXTERNAL_DELIVERY_ENABLED=MISSING;SOCIAL_PUBLISHING_ENABLED=MISSING;EXTERNAL_MODEL_CALLS_ENABLED=MISSING;LIVE_SMS_DELIVERY=MISSING;LIVE_EMAIL_DELIVERY=MISSING;LIVE_PSTN_DIALING=MISSING;PRODUCTION_DIALING=MISSING,uvicorn mail_platform.api:app --host 0.0.0.0 --port 8098 --proxy-headers --forwarded-allow-ips *
